index,negativeword,rattcounter,kibucounter
1009,despot,0,0
1010,despotic,0,0
1011,despotism,0,0
1012,destabilisation,0,0
1013,destains,0,0
1014,destitute,0,0
1015,destitution,0,0
1016,destroy,0,0
1017,destroyer,0,0
1018,destruction,0,0
1019,destructive,0,0
1020,desultory,0,0
1021,deter,0,0
1022,deteriorate,0,0
1023,deteriorating,0,0
1024,deterioration,0,0
1025,deterrent,0,0
1026,detest,0,0
1027,detestable,0,0
1028,detestably,0,0
1029,detested,0,0
1030,detesting,0,0
1031,detests,0,0
1032,detract,0,0
1033,detracted,0,0
1034,detracting,0,0
1035,detraction,0,0
1036,detracts,0,0
1037,detriment,0,0
1038,detrimental,0,0
1039,devastate,0,0
1040,devastated,0,0
1041,devastates,0,0
1042,devastating,0,0
1043,devastatingly,0,0
1044,devastation,0,0
1045,deviate,0,0
1046,deviation,0,0
1047,devil,0,0
1048,devilish,0,0
1049,devilishly,0,0
1050,devilment,0,0
1051,devilry,0,0
1052,devious,0,0
1053,deviously,0,0
1054,deviousness,0,0
1055,devoid,0,0
1056,diabolic,0,0
1057,diabolical,0,0
1058,diabolically,0,0
1059,diametrically,0,0
1060,diappointed,0,0
1061,diatribe,0,0
1062,diatribes,0,0
1063,dick,0,0
1064,dictator,0,0
1065,dictatorial,0,0
1066,die,0,0
1067,die-hard,0,0
1068,died,0,0
1069,dies,0,0
1070,difficult,0,0
1071,difficulties,0,0
1072,difficulty,0,0
1073,diffidence,0,0
1074,dilapidated,0,0
1075,dilemma,0,0
1076,dilly-dally,0,0
1077,dim,0,0
1078,dimmer,0,0
1079,din,0,0
1080,ding,0,0
1081,dings,0,0
1082,dinky,0,0
1083,dire,0,0
1084,direly,0,0
1085,direness,0,0
1086,dirt,0,0
1087,dirtbag,0,0
1088,dirtbags,0,0
1089,dirts,0,0
1090,dirty,0,0
1091,disable,0,0
1092,disabled,0,0
1093,disaccord,0,0
1094,disadvantage,0,0
1095,disadvantaged,0,0
1096,disadvantageous,0,0
1097,disadvantages,0,0
1098,disaffect,0,0
1099,disaffected,0,0
1100,disaffirm,0,0
1101,disagree,0,0
1102,disagreeable,0,0
